place_id,name,address,rating,total_ratings,latitude,longitude,opening_hours,timestamp
ChIJJWZlZB9v5kcRBi5teyuum-M,GEMÜSE - Berliner Kebap,"61 Rue Ramey, 75018 Paris, France",4.6,2257,48.8905954,2.3453692,"Monday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Tuesday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Wednesday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Thursday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Friday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Saturday: 11:30 AM – 5:00 PM, 6:00 – 10:30 PM; Sunday: Closed",2025-02-25 21:25:56
ChIJdwazmn5v5kcRxyybhHJmf6k,PARIS-BERLIN le kebab qui vient de l’est,"1 Rue de Budapest, 75009 Paris, France",4.7,337,48.8759558,2.3276223,Monday: 11:30 AM – 9:30 PM; Tuesday: 11:30 AM – 9:30 PM; Wednesday: 11:30 AM – 9:30 PM; Thursday: 11:30 AM – 9:30 PM; Friday: 11:30 AM – 9:30 PM; Saturday: 11:30 AM – 9:30 PM; Sunday: Closed,2025-02-25 21:25:56
ChIJw_dJODVx5kcR9v5O-SeyonE,Berliner Das Original - Kebab,"20 Bd Pasteur, 75015 Paris, France",4.2,846,48.8426726,2.3123416,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM; Thursday: 11:00 AM – 2:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: 11:00 AM – 2:00 AM,2025-02-25 21:25:56
ChIJj3OKK2lx5kcRuPjHa773v9M,Meister Berliner Kebap - Montparnasse,"37 Bd du Montparnasse, 75006 Paris, France",4.9,300,48.8449936,2.3211625,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: 11:30 AM – 11:00 PM,2025-02-25 21:25:56
ChIJ91OJTBRv5kcRkQLUmK35iLs,Sürpriz,"28 Rue Pierre Fontaine, 75009 Paris, France",4.9,99,48.8823628,2.3337968,"Monday: 11:30 AM – 3:30 PM, 6:00 PM – 12:00 AM; Tuesday: 11:30 AM – 3:30 PM, 6:00 PM – 12:30 AM; Wednesday: 11:30 AM – 3:30 PM, 6:00 PM – 12:30 AM; Thursday: 11:30 AM – 3:30 PM, 6:00 PM – 12:30 AM; Friday: 11:30 AM – 3:30 PM, 6:00 PM – 2:00 AM; Saturday: 11:30 AM – 4:30 PM, 6:30 PM – 2:00 AM; Sunday: 11:30 AM – 4:30 PM, 6:30 PM – 12:30 AM",2025-02-25 21:25:56
ChIJzbWF7Wxz5kcRq65oPUPorWE,La Broche - Kebab Berlinois Paris 5,"12 Rue Monge, 75005 Paris, France",4.9,151,48.8489922,2.349607,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: Closed,2025-02-25 21:25:56
ChIJS3pDR-9t5kcRMc9G7WPYbCA,Sürpriz,"110 Rue Oberkampf, 75011 Paris, France",4.7,1848,48.86596,2.3790803,"Monday: 11:30 AM – 4:00 PM, 6:30 – 11:30 PM; Tuesday: 11:30 AM – 4:00 PM, 6:30 PM – 12:30 AM; Wednesday: 11:30 AM – 4:00 PM, 6:30 PM – 12:30 AM; Thursday: 11:30 AM – 4:00 PM, 6:30 PM – 12:30 AM; Friday: 11:30 AM – 4:00 PM, 6:30 PM – 2:00 AM; Saturday: 11:30 AM – 4:30 PM, 6:30 PM – 2:00 AM; Sunday: 11:30 AM – 4:30 PM, 6:30 – 11:30 PM",2025-02-25 21:25:56
ChIJ_-KK3-pv5kcR0S9gAoVGYUQ,Le Berlinois - KEBAP,"64B Rue du Ruisseau, 75018 Paris, France",4.7,621,48.894911,2.3410127,"Monday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM; Tuesday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM; Wednesday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM; Thursday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM; Friday: 11:30 AM – 3:00 PM, 6:00 – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 12:00 – 10:30 PM",2025-02-25 21:25:56
ChIJC_OIh0Nz5kcRO38k6j9-x5c,ROOTS OF BERLIN Berliner kebab,"21 Bd Soult, 75012 Paris, France",5.0,101,48.8368584,2.4075586,"Monday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM; Tuesday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM; Wednesday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM; Thursday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM; Friday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM; Saturday: 11:30 AM – 4:00 PM, 6:00 – 10:30 PM; Sunday: 11:30 AM – 3:30 PM, 6:00 – 10:30 PM",2025-02-25 21:25:56
ChIJv-oAvMxv5kcRO_ox8mJixTQ,O’berlinois,"165 Av. Victor Hugo, 75116 Paris, France",4.5,539,48.8663594,2.2778484,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: Closed,2025-02-25 21:25:57
ChIJr5u0Ikdt5kcRB795i22RITk,Meister,"117 Av. Jean Jaurès, 93300 Aubervilliers, France",4.4,154,48.9069884,2.3953586,"Monday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Tuesday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Wednesday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Thursday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Friday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Saturday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM; Sunday: 11:00 AM – 3:00 PM, 7:00 PM – 2:00 AM",2025-02-25 21:25:57
